uid,network_trip_distance
28088,0
28433,0
28469,0
28502,0
48824,0
54676,0
57576,0
78619,0
80748,0
108584,0
108586,0
108589,0
111517,0
115817,0
115863,0
116205,0
143757,0
145264,0
168396,0
200815,0
202308,0
206802,0
206867,0
226935,0
237819,0
237883,0
48624,1
27025,2
55563,2
221582,2
91437,3
107341,3
202996,3
46157,4
80764,4
105018,4
223169,4
8622,5
77418,5
19037,6
165153,6
105799,8
79347,9
87562,9
87566,9
47038,10
55557,10
85646,10
188729,10
11803,11
12698,11
143763,11
18828,13
84680,14
202291,14
227562,15
81368,16
103150,16
113069,16
57606,17
129187,17
58856,18
11825,19
28328,19
145400,19
200859,19
200033,20
206958,20
48606,21
136978,21
55840,22
84637,22
146625,22
188715,22
35075,23
203024,23
56547,24
72522,24
28163,25
38548,25
205126,25
8661,26
52120,26
55914,26
113057,26
143691,26
191906,26
214260,26
145470,28
17937,29
115585,30
172418,30
54554,31
164811,32
231218,32
231280,32
51933,34
108735,34
19420,37
51368,37
143717,37
199409,37
142080,38
200800,38
85509,39
108646,39
109723,40
48593,41
101842,41
119007,41
215403,41
172684,42
8688,43
159515,43
229697,43
237583,43
56561,44
74274,44
93815,44
95715,44
107287,44
173112,44
129185,45
79439,46
113048,46
230459,47
47698,48
107344,48
229427,48
19397,49
80948,49
95704,49
145345,49
202259,49
202305,49
17905,50
73037,51
85371,51
112967,51
164808,51
89038,52
14812,53
53174,53
107381,53
205084,53
11776,54
86198,54
19062,55
11363,56
11745,56
49106,58
93172,58
142061,58
155233,58
170821,58
172685,58
200886,58
93188,59
93826,59
223139,59
227543,59
46869,61
77248,61
78201,61
122318,61
165151,61
227467,61
8874,62
58875,62
107450,62
109537,62
56545,63
107791,65
141798,65
19014,66
223161,66
55487,68
145738,68
173153,68
183860,68
11834,69
218773,69
84665,70
202332,70
227405,70
89069,71
230216,71
28346,72
77222,72
170780,72
237853,72
89044,73
171622,73
219010,73
230914,73
27029,74
100454,74
129515,75
183882,75
222503,75
93797,76
51397,77
58879,77
206863,77
206943,77
209702,77
227335,77
92895,78
176233,78
176278,78
136741,79
141744,79
173133,79
178549,79
231259,79
12701,80
14775,80
80926,80
105184,80
109575,80
113436,80
176252,80
196460,80
203018,80
19405,81
72551,81
107313,81
172544,81
206905,81
76437,82
183835,82
11739,83
14022,83
109585,83
205070,83
39632,84
48987,84
