orig,dest,bike_trips
1,49,6
1,55,22
1,57,14
1,252,32
1,253,15
1,254,9
1,269,9
2,17,5
2,25,8
2,34,17
2,40,30
2,540,6
3,5,15
3,18,25
3,82,4
3,256,9
3,263,9
3,270,9
3,540,18
4,66,13
4,98,5
4,110,23
4,256,65
4,257,11
4,270,12
5,3,15
5,11,7
5,16,21
5,22,25
5,23,46
5,89,6
5,268,5
5,278,58
6,37,11
6,55,14
6,60,14
6,79,22
6,250,13
6,252,14
6,265,8
6,268,5
8,282,25
9,10,37
10,16,25
10,41,37
10,51,5
11,25,12
11,63,6
11,97,5
11,229,7
11,248,34
11,270,48
14,4,65
14,15,17
14,26,12
14,33,14
14,45,14
14,50,14
14,52,3
14,60,18
14,170,14
14,253,39
14,270,18
15,16,17
15,25,42
15,36,17
15,49,16
15,51,23
15,53,18
15,62,13
15,68,12
15,77,6
15,78,19
15,99,52
15,263,24
15,268,5
16,5,21
16,10,25
16,14,17
16,18,20
16,21,15
16,23,58
16,25,12
16,35,20
16,39,21
16,51,12
16,54,21
16,55,12
16,56,21
16,59,12
16,66,12
16,77,19
16,89,19
16,107,5
16,209,18
16,269,14
16,270,10
16,279,10
16,429,7
17,2,5
17,18,58
17,19,10
17,21,46
17,25,31
17,40,28
17,46,11
17,48,14
17,49,23
17,53,21
17,54,7
17,55,20
17,56,23
17,58,11
17,66,37
17,67,27
17,68,33
17,69,13
17,71,14
17,77,35
17,78,14
17,90,20
17,91,19
17,92,36
17,99,62
17,101,5
17,113,34
17,201,10
17,264,21
17,266,13
17,270,11
17,280,25
17,306,28
17,452,5
17,538,5
18,16,32
18,17,72
18,19,28
18,22,25
18,25,13
18,34,16
18,57,11
18,65,16
18,68,34
18,69,11
18,82,35
19,14,3
19,18,28
19,19,48
19,20,14
19,21,12
19,22,11
19,24,10
19,25,31
19,36,3
19,40,14
19,43,13
19,48,25
19,49,40
19,51,14
19,54,15
19,55,25
19,68,22
19,69,51
19,81,14
19,90,16
19,93,7
19,94,48
19,278,6
20,25,5
20,35,5
20,38,15
20,43,46
20,57,71
20,60,38
20,65,4
20,67,52
20,68,3
20,69,11
20,70,5
20,71,3
20,80,17
20,89,16
20,204,4
20,250,6
20,270,8
20,272,47
20,276,17
20,278,4
21,15,19
21,16,15
21,17,10
21,19,71
21,20,12
21,21,74
21,22,16
21,23,87
21,25,29
21,36,18
21,37,5
21,40,20
21,46,42
21,47,30
21,48,23
21,50,5
21,51,12
21,52,34
21,53,23
21,56,25
21,65,189
21,66,35
21,67,17
21,68,32
21,69,79
21,70,79
21,71,15
21,72,48
21,90,23
21,93,5
21,94,16
21,97,12
21,98,25
21,109,8
21,115,13
21,119,11
21,126,12
21,165,20
21,172,12
21,203,27
21,204,30
21,205,58
21,251,10
21,257,13
21,264,26
21,266,14
21,270,16
21,273,5
21,275,5
21,281,55
22,3,25
22,5,25
22,16,19
22,19,11
22,21,16
22,23,58
22,25,116
22,26,28
22,35,13
22,36,49
22,37,21
22,38,45
22,40,18
22,42,18
22,43,35
22,47,44
22,48,25
22,49,40
22,50,18
22,51,18
22,52,11
22,54,5
22,57,31
22,66,20
22,67,26
22,68,22
22,69,50
22,70,49
22,73,25
22,74,4
22,76,30
22,89,11
22,93,11
22,101,18
22,110,30
22,125,9
22,210,20
22,259,22
22,264,23
22,271,25
22,278,15
22,280,13
23,16,58
23,17,46
23,19,19
23,21,99
23,26,11
23,34,114
23,36,58
23,38,114
23,45,48
23,53,46
23,54,23
23,69,5
23,72,153
23,93,46
23,104,6
23,105,5
23,110,29
23,193,5
23,269,46
23,279,10
23,282,12
24,10,5
24,17,10
24,26,5
24,37,23
24,49,48
24,50,36
24,52,58
24,67,25
24,69,25
24,165,14
24,269,19
25,2,8
25,11,12
25,15,12
25,16,12
25,17,31
25,18,13
25,19,12
25,20,5
25,21,17
25,22,89
25,25,19
25,26,19
25,34,18
25,35,9
25,37,31
25,38,74
25,39,11
25,40,19
25,45,30
25,46,41
25,50,18
25,52,5
25,57,21
25,59,4
25,62,18
25,64,18
25,65,12
25,66,56
25,67,82
25,68,12
25,69,12
25,71,29
25,72,39
25,73,38
25,75,15
25,78,38
25,81,10
25,90,47
25,93,157
25,95,13
25,96,53
25,99,98
25,101,5
25,108,17
25,109,19
25,110,6
25,113,13
25,115,39
25,125,14
25,130,17
25,165,32
25,172,24
25,173,14
25,187,53
25,201,14
25,204,5
25,209,24
25,242,21
25,250,41
25,251,10
25,259,7
25,268,13
25,271,34
25,284,15
26,22,28
26,24,10
26,25,23
26,26,24
26,34,9
26,36,54
26,38,19
26,43,16
26,44,35
26,52,14
26,53,19
26,55,13
26,57,14
26,63,12
26,65,14
26,67,24
26,69,28
26,75,41
26,77,12
26,81,15
26,89,14
26,90,16
26,109,40
26,210,12
26,267,10
29,9,37
29,37,10
29,41,28
29,62,30
29,65,10
29,84,17
29,99,6
29,103,6
29,110,30
29,119,21
29,223,28
29,251,19
29,255,8
29,265,11
30,90,23
32,42,18
33,25,35
33,75,6
33,85,8
33,99,31
33,120,10
33,167,8
33,184,5
33,197,21
34,2,17
34,18,16
34,19,12
34,25,18
34,26,9
34,37,27
34,53,31
34,64,33
34,65,33
34,68,14
34,70,36
34,81,10
34,84,28
34,97,14
34,99,30
34,101,15
34,107,18
34,122,12
34,269,5
34,270,4
34,278,114
35,16,20
35,20,5
35,22,13
35,26,9
35,34,28
35,37,24
35,40,17
35,41,18
35,46,33
35,63,18
35,64,21
35,66,25
35,71,29
35,73,7
35,84,19
35,98,14
35,99,5
35,105,5
35,113,21
35,129,18
35,228,26
35,270,4
35,273,28
35,279,18
35,290,13
35,295,14
36,15,17
36,19,3
36,21,18
36,22,49
36,23,58
36,24,5
36,25,54
36,26,54
36,38,11
36,40,10
36,46,36
36,50,9
36,59,21
36,62,20
36,65,15
36,67,68
36,68,13
36,78,4
36,82,16
36,91,55
36,92,29
36,93,87
36,95,21
36,98,5
36,103,6
36,105,11
36,114,33
36,125,6
36,165,27
36,169,27
36,173,18
36,202,41
36,211,43
36,258,35
36,261,23
36,263,17
36,265,13
36,266,10
36,268,33
36,271,48
36,282,37
37,6,11
37,22,21
37,24,28
37,25,31
37,29,10
37,34,27
37,35,24
37,40,14
37,52,6
37,55,9
37,59,7
37,61,22
37,64,12
37,65,33
37,66,72
37,67,4
37,68,4
37,69,23
37,71,18
37,72,13
37,76,29
37,77,17
37,89,5
37,90,22
37,97,55
37,99,5
37,100,14
37,105,28
37,106,11
37,118,35
37,126,26
37,250,34
37,256,9
37,262,25
37,267,4
37,270,11
37,271,12
37,272,23
37,277,9
38,17,14
38,20,50
38,21,41
38,22,45
38,23,132
38,25,98
38,36,21
38,42,28
38,43,114
38,48,15
38,57,20
38,65,56
38,66,18
38,67,18
38,70,32
38,71,45
38,72,33
38,74,15
38,76,14
38,80,15
38,89,70
38,91,5
38,92,15
38,93,154
38,94,6
38,99,30
38,100,5
38,104,5
38,109,79
38,110,55
38,122,17
38,166,5
38,173,47
38,211,13
38,216,24
38,250,71
38,255,29
38,263,9
38,265,5
38,270,10
38,290,14
39,16,21
39,19,17
39,21,61
39,33,20
39,39,7
39,45,25
39,49,19
39,50,36
39,55,23
39,56,11
39,66,19
39,67,11
39,71,21
39,110,12
39,162,11
39,168,25
39,203,7
39,281,19
40,2,30
40,17,28
40,21,6
40,22,13
40,35,17
40,37,14
40,38,60
40,41,23
40,44,12
40,50,19
40,55,30
40,57,20
40,65,29
40,67,15
40,68,30
40,69,21
40,71,52
40,77,11
40,78,20
40,79,62
40,84,10
40,90,20
40,93,21
40,96,6
40,101,27
40,108,5
40,113,18
40,165,10
40,170,40
40,207,11
40,269,14
40,272,13
40,278,14
40,279,14
40,294,14
40,308,15
40,391,19
40,3632,20
41,22,58
41,29,66
41,35,18
41,44,48
41,48,6
41,50,23
41,52,30
41,63,37
41,66,20
41,69,109
41,78,28
41,97,117
41,108,5
41,119,26
41,147,5
41,165,27
41,203,13
41,219,17
41,263,10
41,277,8
41,278,4
41,282,33
42,22,18
42,32,18
42,36,18
42,38,22
42,47,18
42,51,20
42,53,14
42,66,6
42,68,46
42,69,37
42,73,7
42,94,33
42,99,31
42,104,5
42,108,8
42,109,6
42,110,30
42,164,42
42,249,36
42,266,16
42,270,9
42,271,17
42,274,5
42,487,7
43,19,13
43,20,23
43,22,22
43,26,16
43,37,22
43,38,104
43,40,13
43,41,58
43,62,18
43,70,12
43,74,23
43,77,32
43,90,4
43,93,6
43,94,63
43,95,10
43,97,18
43,104,11
43,117,9
43,125,27
43,167,23
43,191,13
43,203,23
43,211,30
43,217,25
43,249,25
43,259,31
43,264,30
43,266,23
43,278,7
43,281,19
43,282,16
43,549,26
44,26,35
44,38,21
44,45,47
44,46,41
44,55,48
44,65,9
44,68,12
44,70,39
44,71,12
44,77,60
44,173,23
44,189,12
44,201,12
44,266,18
44,270,24
44,273,28
44,277,4
45,15,30
45,44,47
45,48,31
45,55,57
45,59,14
45,65,16
45,67,23
45,71,98
45,72,52
45,73,23
45,76,7
45,84,23
45,90,20
45,93,143
45,95,54
45,97,5
45,102,125
45,110,23
45,126,6
45,167,19
45,172,42
45,173,23
45,186,17
45,205,13
45,227,13
45,243,11
45,250,14
45,258,13
45,264,14
45,270,4
45,271,4
45,278,50
45,280,28
45,282,38
45,305,25
45,528,19
46,21,18
46,22,28
46,25,14
46,34,12
46,36,36
46,40,21
46,41,48
46,49,37
46,53,18
46,54,18
46,55,35
46,56,17
46,57,17
46,60,17
46,67,39
46,69,53
46,70,31
46,71,34
46,73,11
46,75,6
46,77,8
46,89,4
46,91,21
46,94,6
46,101,38
46,167,33
46,197,16
46,201,41
46,270,5
46,317,14
46,546,19
46,1117,33
47,22,44
47,39,61
47,42,18
47,46,18
47,47,8
47,55,18
47,65,9
47,66,18
47,67,4
47,72,11
47,77,10
47,89,6
47,90,66
47,93,55
47,94,61
47,95,36
47,97,5
47,100,11
47,105,5
47,110,37
47,164,10
47,167,6
47,169,12
47,216,13
47,249,13
47,256,13
47,257,16
47,262,36
47,269,13
47,539,30
48,18,14
48,19,25
48,21,63
48,22,25
48,40,44
48,41,6
48,50,19
48,52,27
48,53,5
48,67,15
48,71,28
48,74,7
48,75,25
48,77,12
48,94,188
48,185,10
48,207,17
48,254,20
48,257,49
48,269,7
49,3,9
49,15,16
49,17,42
49,22,25
49,31,7
49,37,13
49,46,42
49,48,40
49,52,32
49,65,24
49,66,49
49,67,24
49,69,29
49,70,102
49,71,33
49,72,28
49,75,37
49,76,6
49,77,29
49,89,18
49,90,74
49,99,9
49,110,29
49,113,42
49,116,54
49,117,8
49,123,23
49,124,18
49,128,18
49,165,4
49,166,9
49,169,10
49,171,20
49,173,24
49,185,23
49,202,41
49,205,16
49,210,11
49,252,22
49,253,12
49,263,11
49,270,8
49,271,25
49,277,41
49,279,13
50,14,14
50,17,21
50,21,5
50,22,18
50,24,36
50,25,18
50,39,36
50,42,23
50,43,22
50,50,43
50,53,7
50,54,36
50,56,12
50,64,17
50,67,38
50,68,6
50,69,40
50,72,61
50,76,7
50,77,14
50,78,5
50,97,8
50,99,40
50,101,29
50,105,27
50,114,6
50,119,13
50,147,14
50,172,24
50,175,21
50,196,52
50,211,20
50,252,13
50,258,71
50,269,19
50,270,28
50,271,23
50,272,34
50,278,47
50,546,13
51,15,28
51,16,12
51,17,7
51,19,14
51,21,12
51,22,18
51,25,5
51,36,5
51,45,14
51,48,12
51,52,11
51,62,12
51,64,30
51,66,27
51,67,8
51,69,102
51,70,58
51,71,19
51,75,52
51,76,7
51,79,22
51,84,33
51,90,18
51,91,5
51,92,5
51,93,154
51,97,24
51,99,164
51,104,5
51,109,34
51,110,36
51,114,18
51,125,32
51,129,62
51,143,7
51,147,16
51,150,9
51,172,24
51,175,21
51,182,31
51,185,10
51,186,4
51,187,50
51,199,23
51,204,9
51,250,13
51,257,15
51,265,23
51,267,20
51,268,25
51,270,32
51,281,21
51,287,7
51,288,8
52,18,16
52,19,3
52,21,34
52,22,42
52,26,14
52,38,23
52,40,30
52,41,30
52,46,14
52,49,32
52,50,59
52,54,24
52,66,23
52,68,85
52,70,58
52,71,24
52,72,10
52,77,62
52,79,4
52,84,18
52,90,60
52,91,5
52,93,55
52,94,11
52,96,6
52,97,5
52,98,56
52,101,38
52,104,16
52,107,41
52,122,13
52,127,22
52,164,6
52,197,14
52,202,93
52,203,5
52,211,22
52,219,12
52,249,44
52,253,14
52,270,8
52,271,46
